name,content,tags,link
Коронавірус на Черкащині: бустер отримали майже 5 тисяч людей,"Минулої доби на Черкащині зафіксували 88 нових випадків інфікування коронавірусом. Одужало 233 особи. Про це повідомили на сайті Черкаської ОДА.Сьогодні з лабораторно підтвердженим вірусом COVID–19 лікуються 3 952 жителі області. На стаціонарному лікуванні на ковідних ліжках перебуває 378 осіб, з них 8 дітей. Апаратів штучної вентиляції легень зайнято 21.За даними МОЗ, в області за добу помер один житель.Всього в області розгорнуто 1960 ліжок. Із них забезпечені кисневою підтримкою 1837 ліжок, це 93,7%. Загальна заповненість ліжок становить 19,3%.Від початку кампанії в Черкаській області здійснили 963 978 щеплень (першу дозу – 484 391 особа, завершили вакцинацію 474 375 людей). Додатковою дозою усього вакцинувалися 397 людей, бустерною – 4 765.Читайте також: На Черкащині активізують вакцинацію дітей від поліомієліту.","#вакцинація, #коронавірус, #covid-19, #Черкаська область",https://www.vikka.ua/novini/zdorovya/koronavirus-na-cherkashhini-buster-otrimali-majzhe-5-tisyach-lyudej/
Для Канівської лікарні придбали нове обладнання,"Для Канівської багатопрофільної лікарні придбали нове обладнання. Про це повідомляє голова Черкаської ОДА Олександр Скічко, йдеться на сайті установи.«Дбаємо про конкурентоспроможність наших медзакладів. І без їхнього оснащення це неможливо. Тому цього разу нове обладнання отримала Канівська багатопрофільна лікарня», – сказав очільник області.За Програмою соціально-економічного розвитку в лікарню придбали:   флюорограф із цифровим обробленням   інкубатор для новонароджених   монітори пацієнта для контролю за життєво важливими функціями в режимі реального часу   переносну відеоендоскопічну систему з відеогастроскопом.Як повідомляла vikka.ua, на Черкащині дорогу між селами відремонтують за 32 млн грн","#Канівська лікарня, #новини Черкащини, #новини Канів, #флюорограф, #інкубатор для новонароджених",https://www.vikka.ua/novini/dlya-kanivskoyi-likarni-pridbali-nove-obladnannya/
Черкаський спортсмен здобув золоту медаль всеукраїнських змагань,"Спортсмен Денис Нечипоренко здобув золоту медаль всеукраїнських змагань. Про це повідомляє пресслужба Управління у справах сім’ї, молоді та спорту Черкаської ОДА.Відкриті змагання з бар’єрного та спринтерського бігу пам’яті М. Батруха та Б. Юшка відбулись 15 січня у Києві. За нагороди змагались легкоатлети з Чернігова, Житомира, Львова, Сум та Черкас.У бігові на 400 метрів з бар’єрами Денис Нечипоренко здобув перше місце. Легкоатлет показав результат – 53,51 секунди.Як повідомляла vikka.ua, черкаські фехтувальники здобули медалі чемпіонату України","#черкаський спорт, #новини Черкас, #черкаські новини, #новости Черкассы, #спорт Черкаси",https://www.vikka.ua/novini/cherkaskij-sportsmen-zdobuv-zolotu-medal-vseukrayinskix-zmagan/
З початку року поліція вилучила незаконного товару на 17 тисяч гривень (ФОТО),"Від початку року поліція вилучила підакцизні товари загальною вартістю близько 17 тисяч гривень, що незаконно продавали в магазинах Черкащини. Про це інформує пресслужба ГУНП в Черкаській області.Порушення виявили під час перевірки господарської діяльності та правил торгівлі алкогольними і тютюновими виробами. На порушників склали адміністративні протоколи, нелегальний товар вилучили.Загалом від початку 2022 року правоохоронці перевірили понад 2000 тисячі об’єктів роздрібної торгівлі: ринки, магазини, кіоски і місця стихійної торгівлі.За результатами перевірок задокументовано 58 фактів незаконного зберігання та збуту підакцизної продукції, з яких 41 факт стосується алкогольної продукції, а 17 – тютюнової. На правопорушників нелегального товару складено адміністративні протоколи. Загальна сума вилученої продукції становить близько 17 тисяч гривень.Відповідні профілактичні рейди й надалі проводитимуть на території Черкас та області.Читайте також: Поблизу Канева шукачі скарбів знайшли підозрілі колби.","#поліція, #акциз, #Черкаська область, #ГУНП в Черкаській області, #підакцизні товари, #незаконний збут",https://www.vikka.ua/novini/cherkashchina/z-pochatku-roku-policiya-viluchila-nezakonnogo-tovaru-na-17-tisyach-griven-foto/
На Черкащині судитимуть уманчанина за державну зраду,"Агента військової розвідки Російської Федерації судитимуть на Черкащині за державну зраду. Про це інформує пресслужба Черкаської обласної прокуратури.За даними слідства, обвинувачений за завданням розвідки Російської Федерації збирав відомості, що становлять державну таємницю, зокрема інформацію щодо кількості та місця знаходження бойових припасів на території однієї з військових частин Черкаської області.У ході слідства, в момент фотографування ним таємних документів його викрито й затримано на гарячому. З липня 2021 року особа утримується в умовах слідчого ізолятора.Прокурорами Черкаської обласної прокуратури затверджено та скеровано до суду обвинувальний акт стосовно жителя Уманщини за фактом вчинення особливо тяжкого злочину проти основ нацбезпеки України, а саме державної зради на користь держави-агресора.За інформацію, передану російським спецслужбам, затриманий отримав аванс у розмірі 500 доларів США та планував додатково отримати значну грошову винагороду.Як повідомляла vikka.ua, у Золотоноші оштрафували чоловіка, який вигорнув на зупинку сніг","#державна зрада, #черкаські новини, #новини Черкащини, #новости Черкассы, #державна зрада Черкаси, #нацбезпека України",https://www.vikka.ua/novini/na-cherkashhini-suditimut-umanchanina-za-derzhavnu-zradu/
Уряд обіцяє підвищити пенсійні виплати у 2022 році,"Уряд планує продовжити підвищення рівня пенсійного забезпечення для багатьох категорій осіб та підвищити пенсійні виплати у 2022 році. Про це зазначив Прем’єр-міністр Денис Шмигаль, повідомляють на сайті Кабінету Міністрів України.«Одне з найбільш нагальних питань, що турбує українців, це — справедливе пенсійне забезпечення. Цього року очікується кілька етапів підвищення виплат. Зокрема, з березня передбачається індексація пенсій, в тому числі працюючим пенсіонерам. Програму доплат до пенсії буде розширено на осіб, яким виповнилось 70 років», — повідомив Денис Шмигаль.Також, за словами Прем’єр-міністра, буде здійснено перерахунки для ліквідаторів аварії на ЧАЕС з інвалідністю, планують підвищити пенсійні виплати у 2022 році для осіб старше 65 років через зростання мінімальної зарплати. Крім того, мінімальна пенсійна виплата для людей віком від 70 років зі стажем 30/35 років буде складати 3000 гривень.Як повідомляла vikka.ua, медики на Черкащині отримуватимуть більшу зарплатню","#пенсіонери, #пенсійна реформа, #Пенсійний фонд, #пенсія, #новини пенсія, #підвищення пенсії, #пенсійне забезпечення",https://www.vikka.ua/novini/uryad-obicyaye-pidvishhiti-pensijni-viplati-u-2022-roci/
Через хвилю «замінувань» черкаські учні навчатимуться дистанційно,"Департамент освіти та гуманітарної політики рекомендує всім школам міста, починаючи з сьогоднішнього дня, проводити навчання у дистанційному форматі. Про це йдеться на сторінці Департаменту у фейсбуці.Такі рекомендації пропонують з огляду на те, що з 12 січня щоденно надходять повідомлення про замінування шкіл у Черкасах, що ставить під загрозу життя та здоровꞌя учасників освітнього процесу та вносить деструктив у організацію освітнього процесу.– Такі щоденні евакуації створюють багато дискомфорту дітям, батькам і шкодять навчальному процесу. І так, як пишуть користувачі, дистанційка – це не вирішення проблеми, але це бодай спокій за наших дітей, допоки правоохоронці не поставлять крапку в цьому питанні, – прокоментувала профільна заступниця міського голови Анастасія Чубіна.Навчатися дистанційно рекомендують до кінця цього тижня.Анастасія Чубіна відповіла також на кілька запитань щодо замінувань, які хвилюють черкасців:«Чи знайли ви тих, хто 4 день мінує школи?»На жаль, органи місцевого самоврядування безсилі в пошуках мінерів. Це виключні функції правоохоронні органів.«Це ви так економите на опаленні?»Ні. Проблем в оплаті за опалення в закладах загальної середньої освіти НЕМАЄ. Більше того, коли дітей евакуюють з першого чи другого уроку, опалення в школі не вимикають.«Навіщо вестися на цю провокацію, давайте вчитися далі?»Життя і здоров’я дітей – найвища цінність, ніхто не буде піддавати їх бодай найменшому ризику. До того ж, є чіткий алгоритм реагування на подібні речі.Читайте також: В одному з черкаських дитсадків – нова керівниця.","#Черкаси, #освіта, #учні, #замінування, #дистанційне навчання, #школи, #Анастасія Чубіна",https://www.vikka.ua/novini/osvita/cherez-xvilyu-zaminuvan-cherkaski-uchni-navchatimutsya-distancijno/
«Багаті» та «бідні» голови громад Золотоніського району (РЕЙТИНГ),"Заробітна плата голів територіальних громад Золотоніського кардинально різниться:  від 12 тис до 54 тис. грн.  Чому так? Які фактори на це впливають? Сайт «ВІККА» промоніторив, скільки заробляють очільники ОТГ Золотоніського району.Однакові оклади, різні преміїІз чого складається зарплата сільських чиновників?Оклад. Переважно оклади голів ОТГ складають 11-12 тис. грн. Саме він є базовим при нарахуванні зарплати.Ранг. На оклад нараховують доплату за ранг. Переважно вона складає 600-700 грн в місяць. У майже всіх голів сьомий ранг.Доплата за вислугу років. Така доплата є різною від 20 до 70 % від окладу. Чим довше голова працював на державній службі, тим більший відсоток доплати.Премія за особливо важливу роботу. Її рівень  від 30% до 150% від окладу. У декого 0%.Премія. Від 0% до 150%. У майже всіх голів Золотоніської ОТГ премія не перевищує 100% від окладу. Є такі, яким по кілька місяців її не нараховували.До речі, рівень премій і доплат встановлює селищна рада.  Тому у деяких голів зарплата кардинально різниться. Все залежить від того, хто з голів як «подружився» із місцевими депутатами.Ми свідомо не включали до рейтингу голову Золотоніської громади Віталія Войцехівського, який нині є депутатом Верховної ради України. Адже його рівень середньою заробітної плат за місяць був би вирахуваний не коректно.Голова Піщанської ОТГ не відповів на інформаційний запит телеканалу «ВІККА», тому про його заробітну плату ми дізналися з інших офіційних джерел. Судячи з цифер, йому справді було що приховувати.Середню зарплату ми вираховували з наданих ОТГ відповідей на інформаційні запити. Найцікавіше, що деякі голови отримували премію до Дня місцевого самоврядування, яка подекуди складає 100% від окладу. Це також вплинуло на середню цифру місячної зарплатні деяких голів.Зарплата не залежить від населення і площіЯк виявилося, заробітна плата керівника не залежить від кількості населення і кількості населених пунктів, які входять до складу громади. Здавалося б, чим більше громада, тим більша зарплата у голови. Адже доводиться вирішувати більше нагальних проблем. Але ж ні.За кількістю населення лідерами (ми свідомо не брали Золотоношу!) є Драбів, Чорнобай та Іркліїв. Але голови цих ОТГ не є лідерами в зарплатних рейтингах.Так само і по кількості населених пунктів, які входять до складу ОТГ. Лідерами є Чорнобай, Іркліїв і Шрамківка. Проте вони в зарплатному рейтингу «середнячки».«Найдорожчі» та «найдешевші» У скільки обходиться оплата роботи голови ОТГ кожному жителю цієї ж громади?Для того, щоб вирахувати цю цифру, ми взяли кількість населення і середню місячну заробітну плату керівника.Таким чином, із 10 громад Золотоніського району ми вирахували трійку «найдорожчих» і трійку «найдешевших» голів.Для порівняння наведемо деякі цифри. Середня заробітна плата голови Золотоніської РДА – 41 тис. грн. Заступники отримують від 32 до 46 тис. грн. Середня заробітня плата в Золотоніському районі – 12 037 грн. Як повідомляв сайт vikka.ua, на Черкащині дорогу між селами відремонтують за 32 млн грнМатеріал підготував Сергій Кузляєв","#Золотоніщина, #Драбів, #Чорнобай, #ОТГ, #Іркліїв, #новини Черкас, #новини Золотоноші, #зарплата голів",https://www.vikka.ua/novini/bagati-ta-bidni-golovi-gromad-zolotoniskogo-rajonu-rejting/
На Черкащині затримали автовикрадача,"Поліцейські розшукали та затримали 30-річного автовикрадача, який в селі Старосілля викрав у городищенця автомобіль 15 січня. Про це повідомляє пресслужба ГУНП в Черкаській області.Власник залишив автомобіль на вулиці біля магазину, а сам пішов за покупками. Коли вийшов — машини вже не було.Оперативним шляхом правоохоронці встановили та затримали зловмисника. Ним виявився 30-річний місцевий жительСлідчі відкрили кримінальне провадження за ч. 1 ст. 289 (Незаконне заволодіння транспортним засобом) ККУ.Правопорушнику загрожує позбавлення волі на строк від трьох до п’яти років.Як повідомляла vikka.ua, разом випивали: на Золотоніщині чоловіка поранили ножем","#новини Черкащини, #Новости Черкасс, #поліція черкащина, #автовикрадач, #викрадення авто",https://www.vikka.ua/novini/na-cherkashhini-zatrimali-avtovikradacha/
Обдаровані черкаські школярі отримуватимуть стипендію від міської влади,"18 обдарованих школярів із Черкас, які продемонстрували найвищі результати в навчанні та в позакласній роботі, отримуватимуть муніципальні стипендії в розмірі 2 тисячі гривень. Сьогодні міський голова Анатолій Бондаренко разом із своєю заступницею Анастасією Чубіною вручили їм відповідні свідоцтва. Про це повідомляють на сайті Черкаської міської ради. chmr.gov.uaСеред стипендіатів – діти, які мають високі досягнення в навчанні. Переможці та призери предметних олімпіад, спортивних змагань, мистецьких конкурсів та інтелектуальних турнірів.– Дуже пишаюсь, що в нас у Черкасах живуть і навчаються прогресивні, розумні й талановиті діти. Подібні заохочення, на наш погляд, стануть добрим стимулом до нових знань та нових перемог. Для нас важливо, аби кожна дитина не зупинялася, продовжувала розвиватися і хотіла навчатися, усвідомлювала, що завдяки своїм знанням і таланту вони можу стати успішними, – звернувся до присутніх у залі дітей Анатолій Бондаренко. – А ми й надалі продовжимо створювати умови для розвитку творчого й інтелектуального потенціалу нашої молоді.chmr.gov.uaЙого заступниця Анастасія Чубіна додала, що свого часу під час навчання в 9-ій гімназії і сама отримувала стипендію міського голови. Тоді її розмір сягав 180 гривень.– Дякуємо вам за вашу роботу. Це справді важливо, коли ти в такому віці за свої досягнення отримуєш фінансову підтримку, – сказала вона. – Працюватимемо над тим, аби в наступному році кількість стипендій у наступному році зросла.Цього року стипендії отримуватимуть учні 1 та 31 гімназії, шкіл № 5, 12, 17, 15, 28 та 33, фізико-математичного ліцею. Дітей заохочуватимуть у дев’яти категоріях: за високі досягнення у вивченні базових дисциплін, у науково-дослідницькій роботі, в галузі українознавства, у винахідницькій діяльності, технічній творчості, в галузі декоративно-прикладного мистецтва, художній творчості, в хореографії, в музиці, в спорті та за активну участь в суспільно-громадській діяльності.Отже, свідоцтва про встановлення муніципальних стипендій вручили:«За високі досягнення у вивченні базових дисциплін» Давиду Бакалову – учню 11 класу черкаської гімназії № 31, Андрію Біленку – учню 11 класу Черкаського фізико-математичного ліцею (ФІМЛІ), Валентину Головку – учню 9 класу черкаської гімназії № 31, Івану Лініченку – учню 10 класу Черкаського фізико-математичного ліцею (ФІМЛІ), Дарині Ортинській – учениці 11 класу черкаської гімназії № 31, Поліні Петковій – учениці 10 класу черкаської спеціалізованої школи І-ІІІ ступенів № 17.«За високі досягнення у науково-дослідницькій роботі Софії Щибиволок – учениці 10 класу Першої міської гімназії.«За високі досягнення в галузі українознавства» Катерині Опанасенко – учениці 11 класу  черкаської гімназії № 31.«За високі досягнення у винахідницькій діяльності, технічній творчості» Олександру Полудненку – учню 10 класу черкаської загальноосвітньої школи І-ІІІ ступенів № 12.«За високі досягнення в галузі декоративно-прикладного мистецтва, художній творчості» Катерині Дахненко – учениці 10 класу черкаської спеціалізованої школи І-ІІІ ступенів № 17, Марії Кутовій – учениці 10 класу черкаської спеціалізованої школи І-ІІІ ступенів № 17.«За високі досягнення в хореографії» Софії Кулеші – учениці 8 класу Першої міської гімназії, Мілені Петрунь – учениці 9 класу черкаської загальноосвітньої школи І-ІІІ ступенів № 5, Вероніці Сазоновій – учениці 10 класу черкаської гімназії № 31.«За високі досягнення в музиці» Ірині Гладкій – учениці 9 класу черкаської спеціалізованої школи І-ІІІ ступенів № 17,«За високі досягнення в спорті» Денису Ковальцю – учню 9 класу черкаської спеціалізованої школи І-ІІІ ступенів № 33 ім.В.Симоненка.«За активну участь в суспільно-громадській діяльності» Анастасії Донець – учениці 10 класу черкаської спеціалізованої школи І-ІІІ ступенів № 28 ім.Т.Г.Шевченка, Назару Драбовському – учню 10 класу черкаської спеціалізованої школи І-ІІІ ступенів № 28 ім.Т.Г.Шевченка.Як повідомляла раніше vikka.ua, через хвилю «замінувань» черкаські учні навчатимуться дистанційно","#школа, #школярі, #стипендія, #черкаські новини, #новини черкаси",https://www.vikka.ua/novini/obdarovani-cherkaski-shkolyari-otrimuvatimut-stipendiyu-vid-miskoyi-vladi/
На Черкащину йдуть хрещенські морози,"Синоптики прогнозують хрещенські морози з температурою вночі -4..-9º, вдень 0..-5º. Про це повідомив на своїй фейсбук-сторінці директор Черкаського гідрометцентру Віталій Постригань.Промайнула перша половина календарної зими, яка «похизувалася» 16-18º морозами, сніговим покривом висотою 8-10 см, з надмірною кількістю опадів у грудні, сильним вітром 19-22 м/с, різкими коливаннями температури повітря та атмосферного тиску у січні.Значних змін у синоптичній ситуації на цьому тижні не прогнозуємо. Циклони продовжують «керувати» атмосферою, тому погода залишиться нестійкою, з рвучким вітром, в окремі дні він досягатиме небезпечних значень 17-22 м/с. Проте коливання атмосферного тиску будуть менш інтенсивними, відлиги – слабшими, а морози – сильнішими.Найближчої ночі атмосферні фронти проявлять себе мокрим снігом та снігом, вдень інтенсивність опадів зменшиться. На дорогах ожеледиця. дискомфорту додаватиме рвучкий вітер 17-22 м/с. Температура вночі 3-8º морозу, вдень 1-6º морозу.На свято Водохреще, 19 січня, яке завершує цикл новорічних свят, очікується морозна погода з температурами вночі -4..-9º, вдень 0..-5º.Надалі 20 січня теплий атмосферний фронт чергового циклону, принесе опади та підвищення температури повітря: вночі 1-6º морозу, вдень 3º морозу – 2º тепла.21-22 січня знову розпочнеться зниження температури на фоні сильного вітру та невеликого снігу. Температура вночі 4-9º морозу, вдень 0-5º морозу. Навіть невеликі опади на фоні температурних коливань провокуватимуть ожеледицю на дорогах та тротуарах.Як повідомляла vikka.ua, на Черкащині затримали автовикрадача","#черкаські новини, #новини черкаси, #новости Черкассы, #Новини Черкащина, #Погода Черкаська область, #прогноз погоди черкаси, #погода Водохреще",https://www.vikka.ua/novini/na-cherkashhinu-jdut-xreshhenski-morozi/
У Черкасах просять поставити світлофор на аварійному перехресті,"Встановити світлофор на перехресті вулиць Надпільна – Новопречистенська. Петиція зареєстрована на сайті Черкаської міської ради.За словами автора петиції Віталія Кобзаря, на цьому перехресті великий трафік в час-пік.«Практично нереально перейти в цьому місті по зебрі дорогу, навіть якщо одне авто зупиниться, то з інших рядів водії не звертають увагу і продовжують рух, створюючи небезпеку для пішоходів . Також тут проживає багато дітей, поблизу садочок, танцювальні гуртки. Плюс на цьому перехресті велика аварійність», – йдеться у тексті петиції.Щоб цю петицію розглянули депутати міської ради, потрібно, аби протягом 30 днів за неї проголосувало 500 черкасців.Як повідомляв сайт vikka.ua, через хвилю «замінувань» черкаські учні навчатимуться дистанційно","#вулиці, #дорога, #новини Черкас, #світлофор, #аварійне перехрестя",https://www.vikka.ua/novini/u-cherkasax-prosyat-postaviti-svitlofor-na-avarijnomu-perexresti/
"У Черкасах «Четверта влада» запитає те, чого не питають інші","На телеканалі «ВІККА» стартує новий суспільно-політичний проект – програма «Четверта влада». Ведуча – відома у Черкасах тележурналіст Ольга Мальована.Програма виходитиме щосереди о 19-20 в прямому ефірі. Гостями будуть як місцеві політики, так і експерти, діячі культури, спортсмени.Ольга Мальована обіцяє, що буде цікаво. На гостей чекають гострі запитання. «Наше кредо: ми запитаємо те, чого не питають інші», – зазначила журналіст.Щосереди, о 19-20, програма «Четверта влада».","#ВІККА, #новини Черкас, #Четверта влада, #Мальована",https://www.vikka.ua/novini/u-cherkasax-chetverta-vlada-zapitaye-te-chogo-ne-pitayut-inshi/
Секрети здоров’я та довголіття. Система 5/95 (ВІДЕО),"Використання “Системи 5/95” від “NovuMedical” вдома.Хочете завжди бути здоровими, активними та повними сил? Тоді обов’язково дивіться програму “Секрети здоров’я та довголіття”. У ній ми розкажемо про унікальну оздоровчу “Систему 5/95” від “NovuMedical”, яка дозволяє легко та комфортно піклуватися про своє здоров’я вдома, на роботі і де вам зручно. Також ми розкажемо чим корисно поєднувати здоровий спосіб життя, правильне харчування, релакс та догляд за собою із фізіотерапією та які результати це дає. Ми розкриємо всі секрети, чим корисне масажне обладнання системи для Вашого здоров’я і де його можна безкоштовно протестувати в Черкасах! Приємного перегляду програми!В програмі використано інформацію на правах реклами. Рекламований товар не є лікарським засобом, медичним виробом, методом профілактики, діагностики, лікування та реабілітації. Перед початком використання обладнання – проконсультуйтеся у лікаря. Самолікування може бути шкідливим для вашого здоров’я.","#лікування, #лікар",https://www.vikka.ua/informatsiya-ta-analitika/sekreti-zdorovya-ta-dovgolittya-sistema-5-95-video/
"Майже мільйон гривень сплатять мігранти, яких затримали на Черкащині","Майже мільйон гривень сплатять до бюджету порушники міграційного законодавства, яких затримали на Черкащині 2021 року. Про це інформує пресслужба Міграційної служби в Черкаській області.В Управлінні ДМС підрахували, що торік на території області до адміністративної відповідальності притягнули 562 порушників міграційного законодавства, з них 235 – нелегальні мігранти.Примусово повернули на батьківщину 222 людей, 11 іноземців примусово видворили. 162 порушникам міграційного законодавства заборонили в’їзд в Україну строком від 3 до 5 років, шістьом – скорочено термін перебування в Україні.Загалом на порушників накладено штрафів на 989 500 грн.Для порівняння: у 2020 році на 50,1% менше притягнуто до адмінвідповідальності порушників міграційних правил, а сума сплачених штрафів склала 417 650 грн.Читайте також: «Багаті» та «бідні» голови громад Золотоніського району (РЕЙТИНГ).","#штраф, #ДМС, #міграційна служба, #Черкаська область, #мігранти",https://www.vikka.ua/novini/majzhe-miljon-griven-splatyat-migranti-yakix-zatrimali-na-cherkashhini/
"Патрульні допомогли водієві, який заглух біля черкаської дамби","Патрульні допомогли чоловікові, у якого неподалік черкаської дамби заглух автомобіль. Про це повідомили на сторінці патрульної поліції Черкаської області.Це сталося 14 січня поблизу села Благодатне. В одному з телеграм-чатів патрульні помітили пост із проханням про допомогу. Чоловік повідомляв, що в його автомобілі Skoda повністю розрядився акумулятор і він заглух.На прохання відгукнулися патрульні. Чоловік розповів, що вже кілька годин просить про допомогу й разом із дівчиною дуже змерзли.Завести двигун так і не вдалося, тому інспектори довезли обох додому, а автівку чоловік обіцяв забрати самостійно наступного дня.Відео патрульних:Читайте також: На Черкащині затримали автовикрадача.","#поліція, #дамба, #патрульні, #акумулятор, #допомога, #Благодатне, #Черкаська область",https://www.vikka.ua/novini/cherkashchina/patrulni-dopomogli-vodiyevi-yakij-zaglux-bilya-cherkaskoyi-dambi/
Що варто знати перед “моржуванням”? (ВІДЕО),"Пірнати чи не пірнати? Час таких майже Гамлетівських запитань для черкасців настає напередодні Водохреща. Охочих з кожним роком більшає. Хтось заради фото у соцмережах, хтось хоче змити гріхи та набратися здоров’я. Стосовно останніх двох пунктів ми і вирішили розпитати у фахівців. З подробицями –  Марія Гаврилян:","#Водохреща, #моржування",https://www.vikka.ua/novini-na-vikka/shho-varto-znati-pered-morzhuvannyam-video/
"Продукти, які вбивають повільно: дайджест «здоров’я» від «ВІККА» (ВІДЕО)","Продукти, які виснажують організм і, навпаки, – які надають енергії. Разом із нутриціологом наші кореспонденти пройшлися магазином і зібрали корисний продуктовий кошик. Що потрібно вводити в зимовий раціон, а від чого варто відмовитися, розповідаємо в сюжеті.","#продукти, #здорове харчування, #разіон",https://www.vikka.ua/novini-na-vikka/produkti-yaki-vbivayut-povilno-dajdzhest-zdorovya-vid-vikka-video/
Заповітна посада: до крісла очільника черкаського драмтеатру вже вишикувалася черга охочих (ВІДЕО),"Заповітна посада. До крісла очільника черкаського драмтеатру вже вишикувалася черга охочих. Нагадаю, конкурс на посаду директора театру обласна влада оголосила наприкінці минулого року. Нині вже сформовали виборчу комісію. Очолити обласний драматичний театр хочуть здебільшого люди, дотичні до цієї сфери. Серед таких – нинішній директор драмтеатру Петро Ластівка і його підлеглі:заступник Роман Бурлаков та заслужена артистка Наталія Мамалига. Серед претендентів і Володимир Єфімов, у минулому керівник «Дружби народів», а нині очільник театру у Кропивницькому. Послужити Мельпомені виявили бажання підприємець Руслан Паскалов та ексдепутат Черкаської міської ради, а нині головний адміністратор Черкаського драматичного театру, Олександр Давиденко.","#посада, #драмтеатр, #директор",https://www.vikka.ua/novini-na-vikka/zapovitna-posada-do-krisla-ochilnika-cherkaskogo-dramteatru-vzhe-vishikuvalasya-cherga-oxochix-video/
Стартує Всесвітній тиждень обізнаності про рак шийки матки,"Із 18 січня розпочинається Всесвітній тиждень обізнаності про рак шийки матки. Черкакський обласний онкологічний диспансер інформує про небезпеку цього захворювання та важливітсь вчасної профілактики.Ілюстрація зі сторінки Черкаського обласного онкодиспансеруРак шийки матки (РШМ) – одна з найбільш поширених патології у структурі онкогінекологічних захворювань, що трапляється в жінок фертильного та працездатного віку (середній вік – до 45 років). Близько 90 % жінок можуть повністю вилікуватися, якщо звернуться до лікаря на початковій стадії захворювання: коли немає скарг та ще відсутні будь-які клінічні симптоми. Фахівці можуть здійснити органозберігаюче хірургічне втручання, а жінки – зберегти репродуктивну функцію.Протягом тривалого періоду рак шийки матки має безсимптомний перебіг.Серед найбільш поширених симптомів: нетипова вагінальна кровотеча (після менопаузи, статевого акту або між регулярними менструаціями), нехарактерні виділення, дискомфорт під час статевого акту та біль у попереку/між тазостегновими кістками.Жінкам варто раз на рік проходити обстеження за наявності кількох факторів ризику, як-от: – куріння – ВІЛ-інфекція – ослаблена імунна система через прийом кортикостероїдів чи імуносупресорів – часта зміна статевих партнерів – рак шийки матки у близьких родичок (матері/бабусі/сестри) – ранній початок статевих стосунків (до 16 років).Якщо ж існує високий ризик розвитку раку, то із 30 років пацієнткам необхідно робити комбінований тест: ПАП-тест і ВПЛ-тест на наявність інфікування високоонкогенними типами вірусу папіломи людини (ВПЛ), що є основною причиною виникнення понад 90% злоякісних пухлин шийки матки.Найбільш ефективним методом профілактики раку шийки матки є вакцинація від високоонкогенних типів ВПЛ. Нині існує три вакцини, що затверджені FDA (Управління санітарного нагляду за якістю харчових продуктів та медикаментів):– «Церварикс» (двовалентна вакцина проти ВПЛ 16 та 18 типів)– «Гардасіл» (чотиривалентна – проти ВПЛ 6, 11, 16 та 18 типів)– «Гардасіл 9» (нова 9-валентна вакцина – проти ВПЛ 6, 11, 16, 18, 31, 33, 45, 52, 58 типів – в Україні легально з’явиться не раніше 2024 року).Не менш важливою стратегією боротьби проти раку шийки матки є скринінг і лікування передракових станів, раннє виявлення й невідкладне лікування інвазивного раку на ранніх стадіях.Читайте також: Для Канівської лікарні придбали нове обладнання.","#онкологія, #медицина, #жіноче здоров'я, #Черкаський онкодиспансер, #рак шийки матки",https://www.vikka.ua/novini/zdorovya/startuye-vsesvitnij-tizhden-obiznanosti-pro-rak-shijki-matki/
У міського голови Черкас Анатолія Бондаренка буде нова помічниця (ВІДЕО),"У міського голови Черкас Анатолія Бондаренка буде нова помічниця. 25-річна Яна Побиванець працюватиме у відділі патронатної служби. Досі жінка працювала у міському департаменті освіти та гуманітарної політики. Цю роботу, згідно з декларацією, успішно поєднує із роботою у багатопрофільному молодіжному центрі.Сукупний дохід, згідно з тією ж декларацією, склав трохи більше 152 тисяч гривень за минулий рік. Яна Побиванець балотувалася від мерської політсили до черкаської міської ради, але не набрала необхідної кількості голосів.","#міський голова, #помічниця",https://www.vikka.ua/novini-na-vikka/u-miskogo-golovi-cherkas-anatoliya-bondarenka-bude-nova-pomichnicya-video/
